pilot.names,match_rate,count,parse_rate,concordance,c25,c75,auc
GPT5_run2,0.9350104821802935,954,1,0.9235182709447416,0.8984436370777691,0.9524786403589649,0.8603865067517592
GPT5_run3,0.9182389937106918,954,1,0.9580753353973168,0.9382887062566277,0.9796055854973051,0.8780128853003506
GPT5_run4,0.910901467505241,954,1,0.9418427047737392,0.9076825127334465,0.9657754984046768,0.8625437294837727
GPT5_run5,0.9339622641509434,954,1,0.9218702406335668,0.8993055555555556,0.9701310153691106,0.8563321589239496
